timestamp,ws100,dir,sd,dsd,gust3s,temp_c,pres_hpa,ri,vert_ws,ws107,ws95
2012-01-10 03:10:00,10.0,341.9,0.96,0.7,10.87,16.1,1007.5,0.71,-0.26,10.066975906191027,9.949224305382646
2012-01-10 03:20:00,10.31,343.6,0.84,1.9,10.99,16.7,1007.4,1.24,0.3,10.37905215928295,10.257650258849509
2012-01-10 03:30:00,10.21,344.2,1.17,1.9,11.13,17.0,1007.3,0.42,0.03,10.278382400221039,10.158158015795683
2012-01-10 03:40:00,10.75,345.9,0.7,1.9,11.43,17.2,1007.2,-2.05,-0.14,10.821999099155354,10.695416128286345
2012-01-10 03:50:00,11.07,348.4,0.99,1.8,11.73,17.1,1007.2,7.87,-0.05,11.144142328153468,11.01379130605859
2012-01-10 04:00:00,11.39,347.2,0.47,0.8,11.89,16.9,1007.1,3.95,-0.37,11.466285557151581,11.332166483830836
2012-01-10 04:10:00,10.97,347.2,0.78,1.1,11.71,17.2,1007.1,-1.06,-0.31,11.043472569091557,10.914299063004764
2012-01-10 04:20:00,10.89,346.1,1.07,2.2,11.87,17.1,1007.2,0.71,0.26,10.962936761842029,10.834705268561702
2012-01-10 04:30:00,10.78,346.3,0.65,2.2,11.31,16.9,1007.3,3.29,0.27,10.852200026873927,10.725263801202493
2012-01-10 04:40:00,10.82,348.7,0.53,1.6,11.51,16.8,1007.3,4.96,-0.1,10.892467930498691,10.765060698424024
2012-01-10 04:50:00,10.04,348.4,0.94,1.8,11.61,16.8,1007.4,1.69,0.37,10.10724380981579,9.989021202604176
2012-01-10 05:00:00,10.79,349.8,1.16,3.4,11.95,16.7,1007.4,4.45,-0.02,10.862267002780117,10.735213025507875
2012-01-10 05:10:00,10.07,350.9,0.84,2.8,10.85,16.8,1007.4,1.78,0.25,10.137444737534365,10.018868875520326
2012-01-10 05:20:00,10.04,351.5,0.91,1.4,10.73,16.6,1007.5,1.0,-0.16,10.10724380981579,9.989021202604176
2012-01-10 05:30:00,10.06,352.0,0.98,2.8,10.84,16.8,1007.6,8.22,-0.24,10.127377761628173,10.008919651214944
2012-01-10 05:40:00,9.8,349.7,0.7,3.1,10.5,16.6,1007.6,0.29,0.1,9.865636388067207,9.750239819274995
2012-01-10 05:50:00,10.58,351.1,0.96,4.0,11.62,17.3,1007.7,1.2,-0.15,10.650860508750107,10.52627931509484
2012-01-10 06:00:00,10.43,353.2,0.45,0.9,10.87,17.2,1007.8,-1.92,-0.39,10.49985587015724,10.3770409505141
2012-01-10 06:10:00,9.54,353.1,0.68,2.9,10.05,17.2,1007.9,0.65,0.25,9.60389501450624,9.491559987335044
2012-01-10 06:20:00,9.7,354.1,1.01,2.2,10.61,17.1,1008.0,2.53,-0.13,9.764966629005295,9.650747576221166
2012-01-10 06:30:00,9.07,352.8,0.75,2.3,9.86,17.2,1008.1,0.42,0.11,9.130747146915262,9.02394644498206
2012-01-10 06:40:00,9.54,351.8,1.08,3.8,10.72,17.0,1008.2,1.48,0.15,9.60389501450624,9.491559987335044
2012-01-10 06:50:00,9.3,349.9,0.88,3.6,10.46,16.7,1008.4,1.83,0.35,9.362287592757657,9.252778604005861
2012-01-10 07:00:00,9.25,350.6,0.8,2.3,11.14,17.2,1008.5,0.33,0.18,9.3119527132267,9.203032482478948
2012-01-10 07:10:00,9.6,353.5,0.76,1.8,10.32,17.1,1008.6,0.43,-0.26,9.664296869943385,9.55125533316734
2012-01-10 07:20:00,8.68,352.7,0.75,4.9,9.48,16.7,1008.7,1.29,0.63,8.738135086573811,8.635926697072136
2012-01-10 07:30:00,8.83,348.5,0.62,3.6,9.57,17.0,1008.8,0.19,0.55,8.889139725166677,8.785165061652878
2012-01-10 07:40:00,8.79,348.5,0.82,6.0,9.47,17.2,1008.9,1.18,1.17,8.848871821541913,8.745368164431346
2012-01-10 07:50:00,9.4,348.6,0.71,5.8,10.52,17.2,1009.0,0.91,0.03,9.462957351819565,9.352270847059689
2012-01-10 08:00:00,9.38,352.1,0.43,2.3,10.03,17.2,1009.1,-7.38,-0.49,9.442823400007184,9.332372398448923
2012-01-10 08:10:00,8.65,348.4,0.95,3.0,9.86,17.1,1009.2,1.02,0.19,8.707934158855238,8.60607902415599
2012-01-10 08:20:00,8.95,351.1,0.42,1.9,9.28,17.2,1009.5,3.86,-0.15,9.009943436040968,8.904555753317467
2012-01-10 08:30:00,9.12,351.6,0.68,2.7,9.94,16.8,1009.7,4.76,-0.53,9.181082026446216,9.073692566508972
2012-01-10 08:40:00,9.21,349.3,0.26,1.1,9.67,16.9,1009.8,-1.42,-0.53,9.271684809601936,9.163235585257418
2012-01-10 08:50:00,8.41,346.2,1.21,3.8,9.42,16.8,1009.9,12.6,0.3,8.466326737106654,8.367297640826806
2012-01-10 09:00:00,8.5,348.8,0.55,3.9,9.08,16.9,1010.1,1.26,0.1,8.556929520262372,8.45684065957525
2012-01-10 09:10:00,8.62,352.0,0.6,5.8,9.13,16.9,1010.2,2.65,-0.07,8.677733231136664,8.57623135123984
2012-01-10 09:20:00,8.3,348.5,0.98,2.9,9.3,16.5,1010.1,1.74,0.2,8.355590002138554,8.257856173467598
2012-01-10 09:30:00,8.39,344.5,0.95,6.6,9.45,16.9,1010.1,1.46,0.51,8.446192785294272,8.347399192216042
2012-01-10 09:40:00,8.6,345.6,0.48,2.3,9.2,17.0,1010.1,-0.03,-0.27,8.657599279324282,8.556332902629077
2012-01-10 09:50:00,8.33,347.7,0.96,2.4,9.45,16.7,1010.1,8.72,-0.36,8.385790929857125,8.287703846383744
2012-01-10 10:00:00,8.66,342.5,0.61,2.1,9.19,16.9,1010.1,1.28,0.02,8.71800113476143,8.616028248461372
2012-01-10 10:10:00,8.92,345.8,0.41,2.1,9.61,16.8,1010.1,3.08,-0.26,8.979742508322396,8.874708080401321
2012-01-10 10:20:00,8.85,343.2,0.75,3.8,9.96,16.9,1009.9,1.19,0.04,8.909273676979058,8.805063510263642
2012-01-10 10:30:00,8.79,343.8,0.92,6.6,10.44,16.7,1009.9,3.34,-0.25,8.848871821541913,8.745368164431346
2012-01-10 10:40:00,8.7,346.2,0.94,8.0,9.85,16.5,1009.8,6.38,0.88,8.758269038386192,8.655825145682902
2012-01-10 10:50:00,8.61,340.0,0.61,3.6,9.24,16.6,1009.7,4.41,0.48,8.667666255230474,8.566282126934459
2012-01-10 11:00:00,9.01,337.2,0.78,4.1,9.87,17.0,1009.6,0.11,0.34,9.070345291478114,8.964251099149765
2012-01-10 11:10:00,8.43,343.0,0.63,3.6,9.39,16.7,1009.5,4.03,0.18,8.486460688919035,8.387196089437571
2012-01-10 11:20:00,7.92,342.1,0.5,3.0,8.69,15.8,1009.3,3.81,0.0,7.973044917703294,7.879785649863056
2012-01-10 11:30:00,7.88,344.4,0.6,3.6,8.54,15.7,1009.2,3.95,-0.13,7.932777014078529,7.839988752641526
2012-01-10 11:40:00,8.32,343.7,0.44,2.2,8.66,16.8,1009.0,0.27,-0.03,8.375723953950935,8.277754622078362
2012-01-10 11:50:00,8.05,353.5,0.66,3.9,8.71,16.6,1008.8,0.9,0.28,8.103915604483777,8.009125565833031
2012-01-10 12:00:00,8.42,355.3,0.67,3.1,8.87,16.9,1008.7,1.82,-0.03,8.476393713012845,8.37724686513219
